name,TotalRunTime,average_net_length,clb_blocks,critical_path,io_blocks,memory_blocks,mult_blocks,packing_time,placement_time,routing_time,total_logic_block_area,total_routing_area,total_routing_time,total_wire_length
00_memset_MIN_ROUTE_CHAN_WIDTH,2,9.46087,30,0.00000000176766,229,0,0,0.05,0.08,0.02,1616820,1323650,0.02,2176
01_memset_MIN_ROUTE_CHAN_WIDTH,4,9.68919,21,0.00000000199763,229,0,0,2.14,0.08,0.03,1131770,1323650,0.03,2151
00_diffeq_paj_convert_MIN_ROUTE_CHAN_WIDTH,4,16.979,52,0.000000020598,258,0,5,0.11,0.28,0.4,4782490,5833110,0.4,12140
01_diffeq_paj_convert_MIN_ROUTE_CHAN_WIDTH,5,17.1386,37,0.0000000201846,258,0,5,1.28,0.29,0.21,3974080,5833110,0.21,12117
00_diffeq_f_systemC_MIN_ROUTE_CHAN_WIDTH,4,20.1161,37,0.0000000155986,162,0,5,0.08,0.15,0.47,3974080,5833110,0.47,9354
01_diffeq_f_systemC_MIN_ROUTE_CHAN_WIDTH,5,17.4745,26,0.0000000156122,162,0,5,1.32,0.15,0.56,3381240,5833110,0.56,7881
00_sha1_MIN_ROUTE_CHAN_WIDTH,7,15.4669,164,0.0000000132317,74,0,0,0.42,0.36,0.21,8838620,4236490,0.21,16596
01_sha1_MIN_ROUTE_CHAN_WIDTH,10,14.3811,149,0.000000011831,74,0,0,3.83,0.35,0.18,8030210,4236490,0.18,15057
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,
